Context,Question,Answer_Text,Answer_Start_Index,Title
"Skyrim, also known as the Old Kingdom, Throat of the World, the Fatherland, or Keizaal, is a vast region set in the northern part of Tamriel. It is the home of the Nords, large and hardy men and women who have a strong resistance to frost, both natural and magical. Skyrim was originally inhabited by a race of Mer known as the Snow Elves, though after the Nordic-Falmer War, the Snow Elves were mostly destroyed and the Atmorans settled the land. It is bordered by Morrowind to the east, the Nibenay and Colovia in Cyrodiil to the south, Hammerfell to the southwest, and High Rock to the west. The island of Solstheim lies to the northeast of Skyrim, now a sovereign territory of Morrowind.",Where is the island of Solstheim?,to the northeast of Skyrim,624,Skyrim
"Skyrim, also known as the Old Kingdom, Throat of the World, the Fatherland, or Keizaal, is a vast region set in the northern part of Tamriel. It is the home of the Nords, large and hardy men and women who have a strong resistance to frost, both natural and magical. Skyrim was originally inhabited by a race of Mer known as the Snow Elves, though after the Nordic-Falmer War, the Snow Elves were mostly destroyed and the Atmorans settled the land. It is bordered by Morrowind to the east, the Nibenay and Colovia in Cyrodiil to the south, Hammerfell to the southwest, and High Rock to the west. The island of Solstheim lies to the northeast of Skyrim, now a sovereign territory of Morrowind.",Who originally inhabited Skyrim?,a race of Mer known as the Snow Elves,301,Skyrim
"Skyrim, also known as the Old Kingdom, Throat of the World, the Fatherland, or Keizaal, is a vast region set in the northern part of Tamriel. It is the home of the Nords, large and hardy men and women who have a strong resistance to frost, both natural and magical. Skyrim was originally inhabited by a race of Mer known as the Snow Elves, though after the Nordic-Falmer War, the Snow Elves were mostly destroyed and the Atmorans settled the land. It is bordered by Morrowind to the east, the Nibenay and Colovia in Cyrodiil to the south, Hammerfell to the southwest, and High Rock to the west. The island of Solstheim lies to the northeast of Skyrim, now a sovereign territory of Morrowind.",What are the Nords?,large and hardy men and women who have a strong resistance to frost,171,Skyrim
"In Riverwood, Alvor's house will be the first on the left, whereas Gerdur can most likely be found at the lumbermill, just behind Alvor's house. Talk to the relative in question. Ask for supplies you can take and you can further inform him or her about what happened in Helgen. Choose this dialogue option to learn about Whiterun and Jarl Balgruuf the Greater. While the storyline tells you to go here. It is worth it to further explore Riverwood to gain a follower and take care of a later task.",Where is Alvor's house?,"In Riverwood, Alvor's house will be the first on the left",0,Skyrim
"In Riverwood, Alvor's house will be the first on the left, whereas Gerdur can most likely be found at the lumbermill, just behind Alvor's house. Talk to the relative in question. Ask for supplies you can take and you can further inform him or her about what happened in Helgen. Choose this dialogue option to learn about Whiterun and Jarl Balgruuf the Greater. While the storyline tells you to go here. It is worth it to further explore Riverwood to gain a follower and take care of a later task.",Where can Gerdur be found?,"at the lumbermill, just behind Alvor's house",99,Skyrim
"The Plains District is the first district any visitor to Whiterun enters, named as such because it is the lowest of the three and therefore closest to the plains outside the city. It contains all the major merchants, the marketplace and Breezehome.",What is the Plains District?,the first district any visitor to Whiterun enters,23,Skyrim
"The Plains District is the first district any visitor to Whiterun enters, named as such because it is the lowest of the three and therefore closest to the plains outside the city. It contains all the major merchants, the marketplace and Breezehome.",What does the Plain's District have?,"all the major merchants, the marketplace and Breezehome.",192,Skyrim
"Whiterun is home to two important dynastic families, the Gray-Manes and the Battle-Borns. Once on good terms with one another, they are currently bitter enemies, as a result of their differing views on the civil war conflict, as well as the economic disparity between both clans, since the Battle-Borns are wealthy and the Gray-Manes are modest. Upon entering the city, the Dragonborn is able to choose a side, either Battle-Born or Gray-Mane, although this is not necessary to interact with the city's shops and temple.",Who are the important families in Whiterun?,the Gray-Manes and the Battle-Borns,53,Skyrim
"Whiterun is home to two important dynastic families, the Gray-Manes and the Battle-Borns. Once on good terms with one another, they are currently bitter enemies, as a result of their differing views on the civil war conflict, as well as the economic disparity between both clans, since the Battle-Borns are wealthy and the Gray-Manes are modest. Upon entering the city, the Dragonborn is able to choose a side, either Battle-Born or Gray-Mane, although this is not necessary to interact with the city's shops and temple.",What is the current relationship between the Gray-Manes and Battle-Borns?,bitter enemies,146,Skyrim
"Taking place in modern-day Tokyo, Persona 5 follows a high school student known by the codename Joker who transfers to a new school after he is falsely accused of assault and put on probation. Over the course of a school year, he and other students awaken to a special power, becoming a group of secret vigilantes known as the Phantom Thieves of Hearts. They explore the Metaverse, a supernatural realm born from humanity's subconscious desires, to steal malevolent intent from the hearts of adults and change their hearts. As with previous games in the series, the party battles enemies known as Shadows using physical manifestations of their psyche known as Personas. The game incorporates role-playing and dungeon crawling elements alongside social simulation scenarios.",Where does Persona 5 take place?,modern-day Tokyo,16,Persona 5
"Taking place in modern-day Tokyo, Persona 5 follows a high school student known by the codename Joker who transfers to a new school after he is falsely accused of assault and put on probation. Over the course of a school year, he and other students awaken to a special power, becoming a group of secret vigilantes known as the Phantom Thieves of Hearts. They explore the Metaverse, a supernatural realm born from humanity's subconscious desires, to steal malevolent intent from the hearts of adults and change their hearts. As with previous games in the series, the party battles enemies known as Shadows using physical manifestations of their psyche known as Personas. The game incorporates role-playing and dungeon crawling elements alongside social simulation scenarios.",What group is Joker part of?,Phantom Thieves of Hearts,327,Persona 5
"Taking place in modern-day Tokyo, Persona 5 follows a high school student known by the codename Joker who transfers to a new school after he is falsely accused of assault and put on probation. Over the course of a school year, he and other students awaken to a special power, becoming a group of secret vigilantes known as the Phantom Thieves of Hearts. They explore the Metaverse, a supernatural realm born from humanity's subconscious desires, to steal malevolent intent from the hearts of adults and change their hearts. As with previous games in the series, the party battles enemies known as Shadows using physical manifestations of their psyche known as Personas. The game incorporates role-playing and dungeon crawling elements alongside social simulation scenarios.",Why do the Phantom Thieves of Hearts explore the Metaverse?,steal malevolent intent from the hearts of adults and change their hearts,449,Persona 5
"Taking place in modern-day Tokyo, Persona 5 follows a high school student known by the codename Joker who transfers to a new school after he is falsely accused of assault and put on probation. Over the course of a school year, he and other students awaken to a special power, becoming a group of secret vigilantes known as the Phantom Thieves of Hearts. They explore the Metaverse, a supernatural realm born from humanity's subconscious desires, to steal malevolent intent from the hearts of adults and change their hearts. As with previous games in the series, the party battles enemies known as Shadows using physical manifestations of their psyche known as Personas. The game incorporates role-playing and dungeon crawling elements alongside social simulation scenarios.",What is the metaverse?,supernatural realm born from humanity's subconscious desires,384,Persona 5
"Taking place in modern-day Tokyo, Persona 5 follows a high school student known by the codename Joker who transfers to a new school after he is falsely accused of assault and put on probation. Over the course of a school year, he and other students awaken to a special power, becoming a group of secret vigilantes known as the Phantom Thieves of Hearts. They explore the Metaverse, a supernatural realm born from humanity's subconscious desires, to steal malevolent intent from the hearts of adults and change their hearts. As with previous games in the series, the party battles enemies known as Shadows using physical manifestations of their psyche known as Personas. The game incorporates role-playing and dungeon crawling elements alongside social simulation scenarios.",How does the party fight Shadows?,Personas,660,Persona 5
"The group forms the Phantom Thieves of Hearts to steal corruption from the hearts of adults to reform the city, and slowly learns of a broader conspiracy to influence the hearts of Tokyo. They are joined along the way by Sae's sister Makoto, the president of the school's student council who is assigned to spy on them but joins after being blackmailed by a criminal; Sojiro's adopted daughter Futaba Sakura, who became depressed after the conspiracy murdered her mother and blamed her using a forged suicide note; and Haru Okumura, who rebels against her billionaire father's attempts to control her life and mistreatment of his employees. Over time, the Phantom Thieves attract the attention of the public and the police, including Sae and Goro Akechi. The Phantom Thieves' popularity plummets after a masked assassin frames them for the death of Haru's father. While pursuing the conspiracy, Akechi joins the group and convinces them to change Sae's heart.",Who is Futaba Sakura?,Sojiro's adopted daughter,368,Persona 5
"Shulk is the main playable character and the protagonist of Xenoblade Chronicles. His ability to wield the Monado, using the sword's unique powers, as well as visions of the future, makes him one of the main forces against the Mechon. He is often referred to by some characters as the ""Heir to the Monado"". Shulk is also portrayed as being oblivious to other peoples' feelings. Despite his gentle nature, Shulk is roused to great hatred and vengeance against the Mechon after they attack Colony 9, revenge being the main factor that leads him and Reyn to begin their journey. Shulk trusts his companions above anything else, and goes to great lengths to protect them. Shulk also tends to be pessimistic, often feeling particularly frustrated if and when he fails to change the future seen in his visions.",Who is Shulk?,main playable character and the protagonist of Xenoblade Chronicles,13,Xenoblade Chronicles
"Shulk is the main playable character and the protagonist of Xenoblade Chronicles. His ability to wield the Monado, using the sword's unique powers, as well as visions of the future, makes him one of the main forces against the Mechon. He is often referred to by some characters as the ""Heir to the Monado"". Shulk is also portrayed as being oblivious to other peoples' feelings. Despite his gentle nature, Shulk is roused to great hatred and vengeance against the Mechon after they attack Colony 9, revenge being the main factor that leads him and Reyn to begin their journey. Shulk trusts his companions above anything else, and goes to great lengths to protect them. Shulk also tends to be pessimistic, often feeling particularly frustrated if and when he fails to change the future seen in his visions.",What can Shulk wield?,Monado,107,Xenoblade Chronicles
"Shulk is the main playable character and the protagonist of Xenoblade Chronicles. His ability to wield the Monado, using the sword's unique powers, as well as visions of the future, makes him one of the main forces against the Mechon. He is often referred to by some characters as the ""Heir to the Monado"". Shulk is also portrayed as being oblivious to other peoples' feelings. Despite his gentle nature, Shulk is roused to great hatred and vengeance against the Mechon after they attack Colony 9, revenge being the main factor that leads him and Reyn to begin their journey. Shulk trusts his companions above anything else, and goes to great lengths to protect them. Shulk also tends to be pessimistic, often feeling particularly frustrated if and when he fails to change the future seen in his visions.",Who is Shulk sometimes referred as?,Heir to the Monado,286,Xenoblade Chronicles
"Shulk is the main playable character and the protagonist of Xenoblade Chronicles. His ability to wield the Monado, using the sword's unique powers, as well as visions of the future, makes him one of the main forces against the Mechon. He is often referred to by some characters as the ""Heir to the Monado"". Shulk is also portrayed as being oblivious to other peoples' feelings. Despite his gentle nature, Shulk is roused to great hatred and vengeance against the Mechon after they attack Colony 9, revenge being the main factor that leads him and Reyn to begin their journey. Shulk trusts his companions above anything else, and goes to great lengths to protect them. Shulk also tends to be pessimistic, often feeling particularly frustrated if and when he fails to change the future seen in his visions.",Who does Shulk hate?,Mechon,463,Xenoblade Chronicles
"Shulk is the main playable character and the protagonist of Xenoblade Chronicles. His ability to wield the Monado, using the sword's unique powers, as well as visions of the future, makes him one of the main forces against the Mechon. He is often referred to by some characters as the ""Heir to the Monado"". Shulk is also portrayed as being oblivious to other peoples' feelings. Despite his gentle nature, Shulk is roused to great hatred and vengeance against the Mechon after they attack Colony 9, revenge being the main factor that leads him and Reyn to begin their journey. Shulk trusts his companions above anything else, and goes to great lengths to protect them. Shulk also tends to be pessimistic, often feeling particularly frustrated if and when he fails to change the future seen in his visions.",What is Shulk's nature?,gentle,390,Xenoblade Chronicles
